,depth,num,rpc_type,percentage
45458,12,87,rpc,0.3203654582964929
45459,3,1330,memcached,0.9958935801041062
45460,3,1554,memcached,0.9964899964899966
45461,6,406,memcached,0.6543513957307062
45462,1,483,db,0.02987281869269447
45463,3,1330,db,0.001908617698091383
45464,3,1554,db,0.00011700011700011699
45465,3,2912,db,0.00034340659340659343
45466,6,406,db,0.25106732348111666
45467,9,274,db,0.16180048661800486
45468,12,87,db,0.2779251399941056
45469,3,340,http,0.0006142506142506142
45470,1,483,mq,0.027210884353741496
45471,3,340,mq,0.00034687093510622937
45472,9,274,mq,0.07299270072992703
45473,10,364,mq,0.14835164835164835
45474,5,527,rpc,0.07463630613535736
45475,7,392,rpc,0.35830241187384043
45476,1,483,memcached,0.9001281672089126
45477,5,527,memcached,0.6888045540796964
45478,7,392,memcached,0.2291280148423005
45479,9,274,memcached,0.7615571776155717
45480,10,364,memcached,0.8461538461538461
45481,12,87,memcached,0.3633952254641911
45482,3,1244,db,0.002411575562700965
45483,5,527,db,0.23655913978494625
45484,7,392,db,0.33232838589981445
45485,2,393,mq,0.00039146604032100216
45486,1,606,rpc,0.02718429737710613
45487,2,393,rpc,0.08710119397142299
45488,11,184,rpc,0.2880434782608696
45489,1,606,memcached,0.9728157026228936
45490,5,329,memcached,0.7937472861485021
45491,9,703,memcached,0.0017069701280227599
45492,16,121,memcached,0.5461731943945382
45493,2,393,db,0.005871990604815031
45494,16,121,db,0.3841178584261588
45495,2,393,http,0.00019573302016050108
45496,10,90,mq,0.0679292929292929
45497,16,121,mq,0.006827164929931728
45498,5,329,rpc,0.02084237950499349
45499,8,552,rpc,0.9782608695652174
45500,9,703,rpc,0.9792318634423898
45501,10,90,rpc,0.3359427609427609
45502,10,167,rpc,0.04856952761144378
45503,16,121,rpc,0.06288178224937117
45504,8,552,memcached,0.0018115942028985507
45505,10,90,memcached,0.37895622895622905
45506,14,448,memcached,0.8482142857142858
45507,5,329,db,0.18106817194963093
45508,9,703,db,0.01906116642958748
45509,10,90,db,0.21717171717171746
45510,11,184,db,0.12907608695652173
45511,14,448,db,0.06026785714285714
45512,5,329,mq,0.0043421623968736426
45513,10,167,mq,0.10944777112441784
45514,14,448,mq,0.09151785714285714
45515,2,393,memcached,0.9064396163632804
45516,10,167,memcached,0.7584830339321356
45517,11,184,memcached,0.5828804347826088
45518,8,552,db,0.019927536231884056
45519,10,167,db,0.08349966733200266
45520,3,423,http,0.00021228349495826696
45521,3,423,mq,0.0004921117383123466
45522,10,907,mq,0.175303197353914
45523,3,600,rpc,0.006438746438746441
45524,4,835,rpc,0.0016907361747094053
45525,23,57,rpc,0.5687606112054329
45526,3,600,memcached,0.981695156695156
45527,13,233,memcached,0.4135778384705424
45528,23,57,memcached,0.15223542727787207
45529,23,57,db,0.2444821731748727
45530,7,94,mq,0.07913993020375995
45531,13,233,mq,0.06515801794771751
45532,3,423,rpc,0.009514160274038673
45533,5,537,rpc,0.06517690875232775
45534,7,94,rpc,0.24901497241922785
45535,13,233,rpc,0.06632852126414357
45536,3,2508,memcached,0.9370015948963316
45537,4,835,memcached,0.9983092638252904
45538,5,537,memcached,0.4581005586592179
45539,3,423,db,0.003193901674144839
45540,3,2508,db,0.05263157894736842
45541,5,537,db,0.4767225325884544
45542,10,907,db,0.0011025358324145537
45543,13,233,db,0.4549356223175966
45544,7,94,http,0.0006754474839581223
45545,3,600,mq,0.008988603988603995
45546,23,57,mq,0.03452178834182228
45547,3,2508,rpc,0.01036682615629984
45548,3,423,memcached,0.9865875428185438
45549,7,94,memcached,0.4693797140605656
45550,10,907,memcached,0.8235942668136714
45551,3,600,db,0.0028774928774928732
45552,7,94,db,0.2017899358324888
45553,3,1258,mq,8.832361773538245e-05
45554,5,748,mq,0.12283737024221456
45555,12,267,mq,0.020599250936329583
45556,1,1168,rpc,0.004280821917808219
45557,3,1258,rpc,0.006624271330153683
45558,7,556,rpc,0.9784172661870504
45559,9,506,rpc,0.4980237154150198
45560,9,714,rpc,0.9831932773109244
45561,3,1343,memcached,0.9955323901712584
45562,5,748,memcached,0.8559295375904376
45563,6,577,memcached,0.5008665511265165
45564,7,172,memcached,0.3288723124177272
45565,7,556,memcached,0.0017985611510791368
45566,14,390,memcached,0.8666666666666667
45567,17,175,memcached,0.9942857142857144
45568,3,1258,db,0.007860801978449038
45569,7,172,db,0.43023255813953465
45570,9,506,db,0.2149209486166008
45571,9,714,db,0.015406162464985997
45572,12,267,db,0.024344569288389517
45573,7,172,mq,0.016673979815708652
45574,7,172,rpc,0.2242211496270295
45575,1,1168,memcached,0.9957191780821918
45576,9,506,memcached,0.26136363636363635
45577,3,1343,db,0.0007446016381236039
45578,7,556,db,0.019784172661870502
45579,17,175,db,0.005714285714285714
45580,9,506,mq,0.025691699604743084
45581,14,390,mq,0.06923076923076922
45582,3,1343,rpc,0.0037230081906180212
45583,5,748,rpc,7.864108210128971e-05
45584,6,577,rpc,0.4896013864818024
45585,12,267,rpc,0.2883895131086142
45586,3,1258,memcached,0.985426603073662
45587,9,714,memcached,0.0014005602240896359
45588,12,267,memcached,0.6666666666666666
45589,5,748,db,0.02115445108524694
45590,6,577,db,0.009532062391681109
45591,14,390,db,0.0641025641025641
45592,3,992,mq,0.00042002688172043
45593,5,809,mq,0.034610630407911014
45594,17,95,mq,0.042105263157894736
45595,1,14070,rpc,0.0004975124378109452
45596,3,1789,rpc,0.0011179429849077695
45597,5,809,rpc,0.0012360939431396785
45598,12,981,rpc,0.01834862385321101
45599,17,95,memcached,0.3526315789473684
45600,10,112,db,0.14126275510204078
45601,17,95,db,0.05263157894736842
45602,3,1789,mq,0.00018632383081796159
45603,7,722,mq,0.10526315789473684
45604,10,112,mq,0.047937925170068035
45605,14,216,mq,0.07047325102880657
45606,3,992,rpc,0.002562163978494623
45607,7,76,rpc,0.20212428662016446
45608,10,112,rpc,0.1851615646258504
45609,1,14070,memcached,0.9995024875621892
45610,3,1789,memcached,0.9977641140301844
45611,5,809,memcached,0.6402966625463535
45612,7,76,memcached,0.599488178277018
45613,7,722,memcached,0.7022160664819944
45614,10,112,memcached,0.6256377551020409
45615,12,981,memcached,0.9531090723751274
45616,3,992,db,0.0017641129032258058
45617,5,809,db,0.3238566131025958
45618,14,216,db,0.22376543209876545
45619,7,76,http,0.00020382281003714103
45620,7,76,mq,0.07082842648790666
45621,14,216,rpc,0.012860082304526748
45622,17,95,rpc,0.5526315789473684
45623,3,992,memcached,0.9952536962365592
45624,14,216,memcached,0.6929012345679013
45625,3,1789,db,0.000931619154089808
45626,7,76,db,0.12735528580487368
45627,7,722,db,0.1925207756232687
45628,12,981,db,0.02854230377166157
45629,3,405,http,0.00033051424127539616
45630,4,103,mq,0.012829678143424924
45631,5,134,mq,0.02631075392269426
45632,14,557,mq,0.07360861759425494
45633,3,509,rpc,0.012298239531569
45634,5,134,rpc,0.04764638346727905
45635,15,195,rpc,0.3829059829059829
45636,3,509,memcached,0.9840325128086606
45637,4,103,memcached,0.5630376127112972
45638,5,134,memcached,0.6285559382574304
45639,13,285,memcached,0.8332301341589268
45640,14,557,memcached,0.8635547576301615
45641,15,195,memcached,0.505982905982906
45642,15,919,memcached,0.9989118607181721
45643,19,131,memcached,0.4809160305343512
45644,5,394,db,0.5426395939086295
45645,13,285,db,0.014447884416924663
45646,14,557,db,0.06283662477558348
45647,19,131,db,0.4809160305343512
45648,3,405,mq,0.0004277243122387476
45649,3,509,mq,0.0005200508494163876
45650,15,195,mq,0.0547008547008547
45651,3,405,rpc,0.011490230387868179
45652,4,103,rpc,0.163503447639693
45653,5,394,rpc,0.09898477157360404
45654,13,285,rpc,0.005779153766769865
45655,19,131,rpc,0.03816793893129771
45656,4,712,memcached,0.9957865168539326
45657,3,405,db,0.0070963351803246715
45658,3,509,db,0.003033629954928922
45659,4,103,db,0.26062926150558496
45660,5,134,db,0.2974869243525959
45661,15,195,db,0.05641025641025641
45662,3,509,http,0.00011556685542586385
45663,5,394,mq,0.016751269035532996
45664,13,285,mq,0.14654282765737875
45665,15,919,mq,0.001088139281828074
45666,4,712,rpc,0.004213483146067416
45667,6,591,rpc,0.00676818950930626
45668,3,405,memcached,0.9806551958782908
45669,5,394,memcached,0.3416243654822335
45670,6,591,memcached,0.9932318104906938
45671,3,303,mq,0.001288796567252439
45672,5,238,mq,0.0015860648895319714
45673,9,2143,mq,0.11992533831077927
45674,3,2175,rpc,0.0009195402298850574
45675,9,706,rpc,1.0
45676,1,652,memcached,0.9822085889570552
45677,3,303,memcached,0.9640703733466756
45678,10,344,memcached,0.6976744186046512
45679,5,1479,db,0.018255578093306288
45680,10,352,db,0.1301652892561984
45681,10,344,mq,0.1119186046511628
45682,10,352,mq,0.016787190082644628
45683,5,1479,rpc,0.03313049357674104
45684,10,352,rpc,0.2634297520661157
45685,3,303,db,0.013423700716166505
45686,3,2175,db,0.0004597701149425287
45687,5,238,db,0.06057654850019476
45688,9,2143,db,0.2062529164722352
45689,10,344,db,0.19040697674418605
45690,3,303,http,0.0012887965672524376
45691,5,1479,mq,0.0013522650439486141
45692,1,652,rpc,0.017791411042944787
45693,3,303,rpc,0.019928332802652358
45694,5,238,rpc,0.006372085257944237
45695,3,2175,memcached,0.9986206896551724
45696,5,238,memcached,0.9314653013523292
45697,5,1479,memcached,0.947261663286004
45698,9,2143,memcached,0.6738217452169856
45699,10,352,memcached,0.5896177685950413
45700,6,46,http,0.00027317995297155244
45701,3,1185,mq,9.376465072667604e-05
45702,5,307,mq,0.026872964169381102
45703,8,550,mq,0.022727272727272728
45704,1,511,rpc,0.035388127853881284
45705,3,1185,rpc,0.004406938584153775
45706,6,46,rpc,0.4804324772926367
45707,9,382,rpc,0.4089005235602093
45708,19,24,rpc,0.8597403884264763
45709,19,67,rpc,0.5454027572063339
45710,24,19,rpc,0.05847953216374269
45711,1,511,memcached,0.9644487932159166
45712,7,1000,memcached,0.77
45713,9,382,memcached,0.3015706806282722
45714,19,67,memcached,0.12096957958300088
45715,1,165,db,0.02817234848484848
45716,3,1185,db,0.0009376465072667606
45717,6,46,db,0.2952349117063953
45718,15,340,db,0.07058823529411765
45719,1,511,mq,8.153946510110893e-05
45720,14,67,mq,0.005663805079613861
45721,15,340,mq,0.08529411764705883
45722,19,67,mq,0.007149367665489341
45723,5,307,rpc,0.16205211726384364
45724,14,67,rpc,0.4943183842125886
